MoveId,CharacterId,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
3428,27,"f, f, f+3",m (TJ),30,20~26 (23~) js3~,+8~+14g,KND,KND,
3429,27,WS+1,m,16,15~16,-12~-11,Launch,Launch,
3430,27,WS+1 When hit f,"m, (SEN)",16,15~16,,Launch,Launch,
3431,27,WS+2,m,10,13~14,-9~-8,+2~+3,+2~+3,
3432,27,"WS+2, F","m, (SEN)",10,13~14,-5~-4,+6~+7,+6~+7,
3433,27,"WS+2, D","m, (DEN)",10,13~14,-12~-11,-1~0,-1~0,
3434,27,"WS+2, 1","m, m","10,17",13~14,-12~-11s,+3~+4s,KND,
3435,27,WS+3,h,30,20,7,KND,KND,
3436,27,WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,
3437,27,FC+d/f+1+2,ll,"10,14","18,31~32 cs1~",-12~-11,+1~+2,+1~+2,
3438,27,SS+2,m,20,16~17 (25~),-7~-6,KND,KND,
3439,27,Opponent Down d+3+4,l,25,22~23,-14~-13,-3~-2,-3~-2,
3440,27,"Opponent Down d+3+4*, F",l (SEN),20,22~23,-14~-13,-3~-2,-3~-2,
3441,27,1+2+3+4,(Special),,22~23,,,,
3442,27,"1+2+3+4, 2",m,20,16~17 (46~) js14~,-18~-17,Launch (JG?),Launch (JG?),
3443,27,SEN only from certain moves,(SEN),,16~17 (46~) 14~,,,,
3444,27,SEN 1,m,27,12~13,-10~-9,KND,KND,
3445,27,SEN 2,l,20,19~20s cs12~,-13~-12,+3~+4s,KND,
3446,27,SEN 3,m,20,14~16 ar14~,-14~-12,Launch (JG?),Launch (JG?),
3447,27,SEN d/f+1,m,20,14~15,-4~-3s,+4~+5s,+4~+5s,
3448,27,f+3 or Form certain moves,(Special),cs 4~10,14~15,,,,
3449,27,DEN F,(SEN),,,,,,
3450,27,DEN 1,h,14,11~12 (26~),-3~-2,+8~+9,+8~+9,
3451,27,"DEN 1, F","h, (SEN)",14,11~12 (26~),-5~-4,+6~+7,+6~+7,
3452,27,"DEN 1, 2","h, h","14,20",11~12 (26~),-6~-5,KND,KND,
3453,27,DEN 2,m?,17,17~19 (32~),-8~-6,+6~+8,CS,
3454,27,DEN 3,m,25,27~30 (42~),+4~+7,KND,KND,Wall bounce
3455,27,"DEN 4, 3","l, m","14,20",21,-16,5,5,"Same as f, F+4, 3"
3456,27,DEN 1+2,h,20,12~13s (28~),-10~-9,KND,KND,Tail spin
3457,27,DEN 2+3,h(Throw),"20,20",12(27~),,Throw(KND),,
3458,27,DEN 2+3 (Opponent in air),Air throw,"23,8",12(27~),,Throw(KND),,
3459,27,u/b or u or u/f+3+4,(Special) (TJ),,"lc,a",,,,
3460,27,u/b or u or u/f+3+4*,h(Throw),40(50),9(25) js1~,,Throw(KND),,
3461,27,"u/f+3+4, 1",l,20,23~24s (53~) js1~10 cs20~,-13~-12,+3~+4s,KND,
3462,27,"u/f+3+4, 4",m,"20(,20)",17~18 (37~) js1~,-8~-7,+8~+9s,Throw(KND),
3463,28,in rage 1+2,m,55,20 pc8~17,-26,KND,KND,Rage art
3464,28,"in rage d/b+4, 3+4","l, h","20,32",24 js19~,-9,KND,KND,"Rage drive, Homing"
3465,28,1,h,7,10,1,8,8,
3466,28,"1, 1","h, h","7,5",10,-7,-8,-8,
3467,28,"1, 1, 1","h, h, h","7,5,5",10,-7,-8,-8,
3468,28,"1, 1, 1, 1","h, h, h, h","7,5,5,5",10,-7,-8,-8,
3469,28,"1, 1, 1, 1, 1","h, h, h, h, h","7,5,5,5,5",10,-7,"+13(SH) 1CH,+5",+13(SH),
3470,28,"1, 2","h, h","7,8",10,-1,6,6,
3471,28,"1, 2, b, f","h, h, (DSS)","7,8",10,-2,5,5,
3472,28,"1, 2, 2","h, h, m","7,8,10",10,-8,4,4,
3473,28,"1, 2, 2, 2","h, h, m, h","7,8,10,10",10,-9,4,4,
3474,28,"1, 2, 2, 2, b, f","h, h, m, h, (DSS)","7,8,10,10",10,-4,9,9,
3475,28,"1, 2, 2, 1+2","h, m, m","7,8,10,21",10,-13~-10,KND,KND,
3476,28,"1, 2, 3","h, h, m","7,8,10",10a,-6~-5,+5~+6 (KND),KND,
3477,28,"1, 2, u/f+3","h, h, (Special) (TJ)","7,8","10a,s",-23,-16,-16,
3478,28,"1, 2, u/f+3, 4","h, h, (Special) (TJ), m","7,8,20","10,",-9~-8,Launch (JG?),Launch (JG?),
3479,28,2,h,8,10,0,6,6,
3480,28,f+2,h,10,12,0,6,6,
3481,28,"2, 2","h, m","8,10",12,-8,4,4,
3482,28,"2, 2, 2","h, m, h","8,10,10",12,-9,4,4,
3483,28,"2, 2, 2, b, f","h, m, h, (DSS)","8,10,10",12,-4,9,9,
3484,28,"2, 2, 1+2","h, m, m","8,10,21",12,-13~-10,KND,KND,
3485,28,"2, b+2","h, h","8,8",12b,-4,7,7,
3486,28,"2, b+2, 1","h, h, h","8,8,8",12,-3~-2,+3~+4,+3~+4,
3487,28,"2, b+2, 1, 2","h, h, h, m","8,8,8,21",12,-3s,KND,KND,
3488,28,"2, b+2, 1, 2, d","h, h, h, m","8,8,8,21",12s,-3s,KND,KND,
3489,28,3,h,12,12,-9,2,2,
3490,28,f+3,h,16,15,-13,-2,SH,
3491,28,"3, 3","h, m","12,17",12,-14,-3,KND,
3492,28,"3, 4","h, h","12,20",12,-10,KND,KND,Tail spin
3493,28,4,h,14,11,-9,7,Launch (JG?),
3494,28,f+4,h,16,13,-9,7,Launch (JG?),
3495,28,"4, 3","h, h","14,12",13,-14~-13,-5~-4,-5~-4,
3496,28,"4, 3, b, f","h, h, (TFS)","14,12",13,7,+16g,+16g,
3497,28,"4, 3, 4","h, h, h","14,12,14",13,-6,-1,Launch (JG?),
3498,28,"4, 3, 4, b, f","h, h, h, (TFS)","14,12,14",13,7,12,Launch (JG?),
3499,28,"4, u+3","h, m (TJ)","14,23",js23~,-1~+1,KND,KND,
3500,28,3+4,mm (TJ),"5,12","14~15, 26a js14~",-12,KND,KND,
3501,28,"3+4, 4","mm (TJ), h","5,12,17","14~15, 26 14~",-13~-11,+5~+7k,+5~+7k,Tail spin
3502,28,f+2~1,m,32,19~20 (20~),+5~+6,KND,KND,
3503,28,f+1+2,m,20,20,+3s,+8s,KND,
3504,28,"f+1+2, D",m,20,20s,+3s,+8s,KND,
3505,28,f+3+4,m (TJ),20,25~26 js11~,-2~-1,+7~+8s,KND,
3506,28,f+1+4,m,25,23~24,-14~-13,KND,KND,
3507,28,d/f+1,m,10,13,-1,5,5,
3508,28,d/f+2,m,12,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
3509,28,d/f+3,m,18,17,-12,-1,-1,
3510,28,"d/f+3, 3","m, l","18,8",17,-14,-3,-3,
3511,28,"d/f+3, 3, 3","m, l, h","18,8,14",17,-8,1,1,
3512,28,"d/f+3, 3, 4","m, l, m (TJ)","18,8,23",s js19~,-17~-16,KND,KND,
3513,28,d/f+4,m,15,13,-8,3,3,
3514,28,"d/f+4, 3","m, m (TJ)","15,23",s js14~,-18~-16,Launch (JG?),Launch (JG?),
3515,28,d/f+3+4,l (TC),12,18s,-15,+4s,KND,
3516,28,d+1,l (TC),15,21~22s cs6~,-13~-12,+1~+2s,+1~+2s,
3517,28,"d+1, 3","l (TC), h","15,21",21~22 6~,-9~-8,KND,KND,Tail spin
3518,28,d+2 or FC+2,Sm (TC),8,11s cs4~,-4,7,7,
3519,28,"d+2, 3","Sm (TC), m","8,21",11 4~,-15~-12,Launch (JG?),Launch (JG?),
3520,28,d+3,l,8,16,-14,-3,-3,
3521,28,D+3,l,8,16s,-14,-3,-3,
3522,28,"d+3, 3","l, h","8,17",16,-7,KND,CS,
3523,28,d+4,l,7,15,-11,0,0,
3524,28,"d+4, 3","l, h","7,12",js5~12,-12,0(SH),5,
3525,28,d+3+4,l (TC),7,12s cs4~,-13,-2,-2,
3526,28,"d+3+4, 3","l (TC), m (TJ)","7,23",s js19~,-18~-16,Launch (JG?),Launch (JG?),
3527,28,d/b+2,m,15,14b,-4,7,7,
3528,28,"d/b+2, 4","m, m (TJ)","15,25",js15~,-17~-10,KND,KND,
3529,28,"d/b+2, 4, D","m, m (TJ)","15,25",d js15~,-6~+1,KND,KND,
3530,28,d/b+3,l,20,17~19,-12~-10,+4~+6s,KND,
3531,28,d/b+4,l (TC),20,26~27 cs6~,-37,KND,KND,Homing
3532,28,"d/b+4, 4","l (TC), m (TJ)","20,27",js26~,-9~-7,KND,KND,
3533,28,d/b+1+2,!,90,78,KND,KND,KND,
3534,28,"d/b+1+2, u, u (Cancel)",(DSS),,78,,,,
3535,28,d/b+3+4,"m (TJ), m","25,25","19~20a ,51~52 js15~",-9~-2,Launch,Launch,
3536,28,d/b+3+4 (Second hit miss),m (TJ),25,19~23 js15~,-41~-37,Launch,Launch,
3537,28,d/b+3+4 (First hit whiffs or blocked),m,25,51~52,-9~-2,+2~+9s,+2~+9s,
3538,28,D/B+3+4,m (TJ),25,19~23d js15~,-27~-23,Launch,Launch,
3539,28,b+1,m,12,14,-9,2,2,
3540,28,"b+1, b, f","m, (DSS)",12,14,-7,4,4,
3541,28,"b+1, 2","m, m","12,12",14,-14,0,0,
3542,28,"b+1, 2, b, f","m, m, (DSS)","12,12",14,-10,4,4,
3543,28,"b+1, 2, 2","m, m, m","12,12,22",14,-14~-13,KND,KND,
3544,28,b+2,m,12,16,-8,4,4,
3545,28,"b+2, 1","m, h","12,15",16,-1~0,+16~+17kg,+16~+17kg,Tail spin
3546,28,"b+2, 2","m, h","12,10",16,-9,4,4,
3547,28,"b+2, 2, b, f","m, h, (DSS)","12,10",16,-4,9,9,
3548,28,"b+2, 3","m, l","12,10",16,-12,-1,-1,
3549,28,"b+2, 3, 4","m, l, m","12,10,23",16,-7~-5,Launch,Launch,
3550,28,"b+2, 3, 4, b, f","m, l, m, (TFS)","12,10,23",16,-8~+6,Launch,Launch,
3551,28,"b+2, 3, d+4","m, l, l?","12,10,21",16s,-37,KND,KND,
3552,28,b+3,m,27,23~26,-12~-9,KND,KND,"Homing, Tail spin"
3553,28,"b+3, B",m,27,23~26b,-11~-8,KND,KND,"Homing, Tail spin"
3554,28,b+4,m,13,14,-7,3,3,Homing
3555,28,"b+4, 3","m, h","13,21",14,-6~-4,KND,KND,Tail spin
3556,28,"b+4, B",m,13,14b,-4,6,6,
3557,28,b+3+4,m,25,23~24,-18~-17,KND,KND,
3558,28,"u/f+1 or d/b+1+2, 1 or 1+2+3+4, 1",h,10,12,-5,6,6,
3559,28,"u/f+1, 3","h, l","10,10",12,-13,-1,-1,
3560,28,u/b or u or u/f+3,m (TJ),25,21 js9~,-17,KND,KND,
3561,28,"u/b or u or u/f+3, 4","m (TJ), m (TJ)","25,23","s js9~34, js44~",-18~-16,Launch (JG?),Launch (JG?),
3562,28,u/f+4,m (TJ),14,15~17,-13~-11,Launch (JG?),Launch (JG?),
3563,28,u/f+3+4,l (TJ),27,29~30 js8~,-24,5,5,
3564,28,u/b or u or U/F+3,(Special) (TJ),,"a,s",,,,
3565,28,"u/b or u or U/F+3, 4","(Special), m",20,10~11 (44~45),-9~-8,Launch (JG?),Launch (JG?),
3566,28,U/B+4 or FC+u/b+4,m (TJ),15,18~28s js9~,-17~-7,-6~+4,-6~+4,
3567,28,U+4 or FC+u+4,m (TJ),18,18~28s js9~,-17~-7,Launch (JG?),Launch (JG?),
3568,28,U/F+4 or FC+u/f+4,m (TJ),23,18~28s js9~,-17~-7,Launch (JG?),Launch (JG?),
3569,28,"u/b or u or U/F+4, 3","m (TJ), m (TJ)","22,22","s js9~34, js43~",-18~-15,Launch (JG?),Launch (JG?),
3570,28,"f, F+2",m,12,14~16 (15~),-7~-5,+7~+9,+7~+9,
3571,28,"f, F+2, 1","m, h","12,12",14~16 (15~),-4~-3,+2~+3,+2~+3,
3572,28,"f, F+2, 1, 3","m, h, m","12,12,23",14~16 (15~),-13~-11,KND,KND,
3573,28,"f, F+2, 3","m, h","12,20",14~16 (15~),-17,KND,KND,
3574,28,"f, F+3 (Close)",m,45,20(21~) pc6~19,-17,KND,KND,"Power crush, Wall bounce"
3575,28,"f, F+3",m,30,20~23 (21~) pc6~19,-17~-14,KND,KND,"Power crush, Wall bounce"
3576,28,"f, F+4",m,10,16~17 (17~),-13~-12,-2~-1,-2~-1,
3577,28,"f, F+4, 3","m, m","10,10",16~17 (17~),-14,BU,BU,
3578,28,qcf+1,h,5,12(12~),-3,3,3,
3579,28,"QCF+1, 2","h, h","4,4",12(12~),-3~-2,+3~+4,+3~+4,
3580,28,"QCF+1, 2, 1","h, h, h","4,4,4",12(12~),-3~-2,+3~+4,+3~+4,
3581,28,"QCF+1, 2, 1, 2","h, h, h, m","4,4,4,12",12(12~),-16~-15,Launch (JG?),Launch (JG?),
3582,28,"f, f, f+3",m (TJ),30,20~28a (23~) js3~,+7~+15g,KND,KND,
3583,28,"f, f, f+3, 1+2(When hit )","m (TJ), (Special)",30,20~28a (23~) js3~,,KND,KND,
3584,28,WS+1,m,13,13~14,-7~-6,-1~0,+4~+5,
3585,28,"WS+1, b, f","m, (DSS)",13,13~14,-5~-4,+1~+2,+6~+7,
3586,28,"WS+1, 2","m, h","13,25",13~14,-9,KND,KND,
3587,28,"WS+1, 2, b, f","m, h, (DSS)","13,25",13~14,0,KND,KND,
3588,28,WS+2,m,20,15~16,-18~-17,Launch(JG?),Launch(JG?),
3589,28,WS+3,"h, (TFS)",16,16,1,5,5,
3590,28,"WS+3, b, f","h, (TFS)",16,16,+13g,17,17,
3591,28,WS+4,m,14(12),11~12,-4~-3,+7~+8,+7~+8,
3592,28,"WS+4, b, f","m, (TFS)",14,11,6,+17g,17,
3593,28,"WS+4, 3","m, m (TJ)","12,23",s js17~,-18~-16,Launch (JG?),Launch (JG?),
3594,28,FC+3,l,12,16s cs1~,-14,-3,-3,
3595,28,"FC+3, 4","l, m (TJ)","12,23",s js19~,-18~-16,Launch (JG?),Launch (JG?),
3596,28,FC+d/b or d+4,l (TC),7,12s cs1~,-15,-4,-4,
3597,28,FC+d/f+4,l (TC),10,12s cs1~,-15,-4,-4,
3598,28,"FC+4, 3","l (TC), m (TJ)","7(10),23",s js19~,-18~-16,Launch (JG?),Launch (JG?),
3599,28,FC+U/B+4,m (TJ),25,14~17 js9~,-31~-28 (20a),-10~-8,-10~-8,
3600,28,FC+U+4,m (TJ),28,14~17 js9~,-31~-28 (20a),KND,KND,
3601,28,FC+U/F+4,m (TJ),30,14~17 js9~,-21~-18 (10a),KND,KND,
3602,28,"FC+U/B+4, d",m (TJ),25,14~17s js9~,-31~-28 (20a),-10~-8,-10~-8,
3603,28,"FC+U+4, d",m (TJ),28,14~17s js9~,-31~-28 (20a),KND,KND,
3604,28,"FC+U/F+4, d",m (TJ),30,14~17s js9~,-21~-18 (10a),KND,KND,
3605,28,FC+u/b or u or U/F+3+4,mm (TJ),"30,20","46~49a, 56~58d js9~",-4~-2,KND,KND,
3606,28,FC+u/b or u or U/F+3+4 (First hit only),m (TJ),30,46~49d js9~,-13~-10,KND,KND,
3607,28,"FC+d/f, d, D/F+3",l (TC),22,16~20ad (19~) cs1~,-23~-19,KND,KND,
3608,28,SS+2,"m, (DSS)",5,17(26~),-5,5,5,
3609,28,"SS+2, 1","m, h, (DSS)","5,6",17(26~),-5~-4,+5~+6,+5~+6,
3610,28,"SS+2, 1, 2","m, h, m, (DSS)","5,6,7",17(26~),-6~-5,+5~+6,+5~+6,
3611,28,"SS+2, 1, 2, 1","m, h, m, m","5,6,7,25",17(26~),-20~-19,KND,KND,
3612,28,SS+3+4,mh (TJ),"14,26","15,23~25 (24~) js11~",-12~-9,KND,KND,Tail spin
3613,28,SS+3+4 (Second hit miss),m,9,15(24~) js11~,-21,-10,-10,
3614,28,1+2+3+4,(Special),,15(24~) 11~,,,,
3615,28,"1+2+3+4, 1+2*",(Special),,15(24~) 11~,,,,
3616,28,"1+2+3+4, 1+2*, 2",h,24,14~15 (88~),-4~-3,,KND,
3617,28,Grounded face up D+1+2+3+4,(Special),,14~15 (88~),,,,
3618,28,d+1+2 (to DSS),(DSS),,1~,,,,
3619,28,DSS 1,h,14,12~13 (13~),-11~-10,CS,CS,
3620,28,"DSS 1, f+1","h, m","14,25",12~13 (13~),-14~-12,KND,KND,
3621,28,"DSS 1, 4","h, h (TJ)","14,30",js14~,+7g,KND,KND,
3622,28,DSS 2,h,20,14~15 (15~),-4~-3,KND,KND,
3623,28,DSS 3,h,28,19~21 (21~),-3~-1,KND,KND,"Homing, Tail spin"
3624,28,DSS 4,l,19,24~25 (25~),-14~-13,+5~+6s,KND,
3625,28,DSS 1+2,h,30,19(20~) pc8~18,-10,KND,KND,Power crush
3626,28,DSS 1+3,h(Throw),"35(8,27)",12(13~),,Throw(KND),,
3627,28,DSS 2+4,h(Throw),"35(8,9,18)",12(13~),,Throw(KND),,
3628,28,DSS f+1,m,25,17~19 (18~),-14~-12,KND,KND,
3629,28,DSS f+2,h(DSS),10,12(13~),0,6,6,
3630,28,DSS f+3,m,30(45),20~23 (21~) pc8~19,-17~-14,KND,KND (KND),"Power crush, wall bounce"
3631,28,DSS f+4,h (TJ),40,20~28a (21~) js9~,+7g,KND,KND,
3632,28,"DSS , ,",,,20~28 (21~) 9~,,,,
3633,28,b+1+2 (to TFS),hmh or m punch parry((Special))(TFS),,3~50,,11,,
3634,28,TFS-success 1,h,12,29~30,,+6~+7b,+6~+7b,
3635,28,TFS-success 2,h,12,22,,+27g(KND),+27g(KND),
3636,28,TFS-success 3,m,22,25,,KND(KND),KND(KND),
3637,28,TFS-success 4,l,15,23,,KND,+19s,
3638,28,TFS-whiff 1,h,14,12~13 (79~),-11~-10,CS,CS,
3639,28,"TFS-whiff 1, f+1","h, m","14,25",12~13 (79~),-14~-12,KND,KND,
3640,28,"TFS-whiff 1, 4","h, h (TJ)","14,30",js14~,+7g,KND,KND,
3641,28,TFS-whiff 2,m,28,16~17 (86~),-20~-19,Launch (JG?),Launch (JG?),
3642,28,TFS-whiff 3,h,28,19~21 (88~),-3~-1,KND,KND,"Homing, Tail spin"
3643,28,TFS-whiff 4,l,19,24~5 (91~),-14~-13,+5~+6s,KND,
3644,28,TFS-whiff 1+2,h,30,19(84~) pc8~18,-10,KND,KND,Power crush
3645,28,TFS-whiff f+1,m,25,17~19 (87~),-14~-12,KND,KND,
3646,28,TFS-whiff f+3,m,30(45),20~23 (91~) pc8~19,-17~-14,KND,KND (KND),"Power crush, Wall bounce"
3647,28,TFS-whiff f+4,h (TJ),40,20~28a (85~) js9~,+7g,KND,KND,
3648,28,"TFS-whiff , ,",,,20~28 (85~) 9~,,,,
3649,28,BT 1,h,7,10,1,8,8,
3650,28,BT 2,m,17,15~19,-14~-10,-1~+3,CS,
3651,28,"BT 2, 2","m, m","17,20",15~19,-17~-15,KND,KND,
3652,28,BT 3,h,25,10,-8,KND,KND,
3653,28,BT 4,h,14,11,-9,2,2,
3654,28,"BT 4, 3","h, m","14,24",11,-12,KND,KND,
3655,28,BT 1+2,h,20,15,-1,+16kg,+16kg,Tail spin
3656,28,BT d+4 or BT FC+4,l,16,23~26,-15~-12,KND,KND,
3657,28,BT u/b or u or u/f+3,m (TJ),25,17 js2~,-12,KND,KND,
3658,28,"BT u/b or u or u/f+3, 4","m (TJ), m (TJ)","25,23",17 2~as,-18~-16,Launch (JG?),Launch (JG?),
3659,28,BT etc,,,17 2~,,,,
3660,29,in rage d+1+2 in rage HMS d+1+2,m,20 pc8~17,55,-22,KND,KND,Rage art
3661,29,in rage d/f+3+4,m,25,16~17,-1~0,KND,KND,"Rage art, Tail spin"
3662,29,"in rage d/f+3+4, f, N","m, (MS)",25,16~17,+2~+3,KND,KND,"Rage art, Tail spin"
3663,29,1,h,7,10,1,8,8,
3664,29,"1, 2","h, h","7,9",10,-1,5,5,
3665,29,"1, 2, 2","h, h, m","7,9,14",10,-13~-12,-2~-1,-2~-1,
3666,29,"1, 2, 2, 3","h, h, m, h","7,9,14,23",10,-3~-1,KND,KND,Tail spin
3667,29,"1, 2, 2, 3, 4","h, h, m, h, (HMS)","7,9,14,23",10,-9~-7,KND,KND,Tail spin
3668,29,"1, 2, 4","h, h, m","7,9,10",10,-12,-1,CS,
3669,29,"1, 2, 4, 3","h, h, m, (HMS)","7,9,10",10,-14,-3,CS,
3670,29,"1, 2, 4 (Hold long as possible)","h, h, m","7,9,20",10,-7,0,CS,
3671,29,"1, 2, f, n","h, h, (Special) (TC)(MS)","7,9",10,-2,4,4,
3672,29,"1, 3","h, h","7,5",10,-11,0,0,
3673,29,"1, 3:3","h, h, m","7,5,4",10,-10,1,1,
3674,29,"1, 3:3:3","h, h, m, h","7,5,4,12",10,-18,KND,KND,
3675,29,2,h,10,10,1,7,7,
3676,29,"2, 1","h, h","10,8",10,-5~-3,+6~+8,+6~+8,
3677,29,"2, 1, 3+4","h, h, (HMS)","10,8",10,-5,6,6,
3678,29,"2, 1, 1","h, h, m","10,8,18",10s,-12~-11,+3~+4,KND,
3679,29,"2, 1, 3","h, h, h","10,8,24",10,-4~-2,KND,KND,Tail spin
3680,29,"2, 1, 4","h, h, l (TC)","10,8,18",cs16~,-16~-14,0~+2,+10~+12,
3681,29,"2, 2","h, m","10,14",16~,-13~-12,-2~-1,-2~-1,
3682,29,"2, 2, 3","h, m, h","10,14,23",16~,-3~-1,KND,KND,Tail spin
3683,29,"2, 2, 3, 4","h, m, h, (HMS)","10,14,23",16~,-9~-7,KND,KND,Tail spin
3684,29,3,m,16,14,-8,7,7,
3685,29,"3, 4","m, (HMS)",16,14,-8,3,3,
3686,29,"3, 3","m, h","16,18",14,-10,1,1,
3687,29,3~3,h,18,30,-10,1,1,
3688,29,3~3 hit or guard 4,"(h, )h(Throw)","(18,)15,5",30,Throw(KND),Throw(KND),Throw(KND),
3689,29,4,h,16,11,-9,7,Launch (JG?),
3690,29,"4, 3","h, h","16,14",11,-14,-3,2,
3691,29,"4, 3, 3","h, h, m","16,14,17",11,-13~-11,+8~+10s,KND,
3692,29,"4, 3, 4","h, h, m (TJ)","16,14,25",js22~,-9~-7,KND,KND,
3693,29,"4, 4","h, h","16,6",22~,-5,6,Launch (JG?),
3694,29,"4, 4, 4","h, h, h","16,6,8",22~,-5,6,Launch (JG?),
3695,29,"4, u or u/f+3","h, m (TJ)","16,25",22~a,-1~+1,KND,KND,
3696,29,1+2,m,20,21~22s,-4~-3,+3~+4,KND,Homing
3697,29,f+2,m,12,14~15,-9~-8,+2~+3,+2~+3,
3698,29,"f+2, 1","m, h","12,24",14~15,-10~-9,KND,KND,
3699,29,f+3,m,6,15,-18,-7,-7,
3700,29,"f+3, 3","m, m","6,3",15,-18,-7,-7,
3701,29,"f+3, 3, 3","m, m, h","6,3,3",15,-18~-17,-7~-6,-7~-6,
3702,29,"f+3, 3, 3, 3","m, m, h, h","6,3,3,3",15,-18~-17,-7~-6,-7~-6,
3703,29,"f+3, 3, 3, 3, 3","m, m, h, h, h","6,3,3,3,3",15,-18~-17,KND,KND,
3704,29,"f+3, 3, 3, 3, 3, 4","m, m, h, h, h, h","6,3,3,3,3,20",15,-4~-3,KND,KND,Tail spin
3705,29,"f+3, 3, 3, 3, 3, 4, 3","m, m, h, h, h, h, (HMS)","6,3,3,3,3,20",15,-7~-6,KND,KND,Tail spin
3706,29,f+4,h,13,11,-7,4,4,
3707,29,"f+4, 3","h, m","13,18",11,-8~-6,+6~+8s,KND,
3708,29,"f+4, 3, 4","h, m, (HMS)","17,24",11,-4~-2,+10~+12s,KND,
3709,29,f+1+2,hh,"10,24","13,28~29",-13~-12,KND,KND,
3710,29,f+3+4,mm (TJ),"10,20","30~32, 34~36 js14~33",+4~+6s,+8~+10s,+8~+10s,
3711,29,f+3+4 (Second hit miss),m,10,30~32s js14~33,-14~-12s,-3~-1s,-3~-1s,
3712,29,d/f+1,m,13,13~14,-1~0,+5~+6,+5~+6,
3713,29,d/f+2,m,12,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
3714,29,d/f+3,m,14,15~16,-8~-7,+3~+4,+3~+4,
3715,29,"d/f+3, 2","m, h","14,11",15~16,-6~-5,+5~+6,+5~+6,
3716,29,"d/f+3, 2, 3","m, h, m","14,11,23",15~16,-16~-15,Launch,Launch,
3717,29,d/f+4,m,16,13~14,-9~-8,+2~+3,+2~+3,
3718,29,"d/f+4, 3","m, (HMS)",16,13~14,-9~-8,+2~+3,+2~+3,
3719,29,d/f+1+2,m,18,20~21,-9~-8,-2~-1,-2~-1,
3720,29,"d/f+1+2, 3","m, h","18,23",20~21,-3~-1,KND,KND,Tail spin
3721,29,"d/f+1+2, 3, 4","m, h, (HMS)","18,23",20~21,-9~-7,KND,KND,Tail spin
3722,29,d+2,m,18,18~19,-6~-5,+8~+9,+8~+9,
3723,29,d+3,l (TC),17,16s cs6~,-17,-3,KND,
3724,29,"d+3, 4","l (TC), (HMS)",15,16s cs6~,-15,-1,KND,
3725,29,d+4,l,7,12,-13,-14,-2,
3726,29,"d+4, n+4","l, h","7,16",12,-9,2,Launch (JG?),
3727,29,"d+4, n+4~3j","l, h! (TJ)","7,60",12a,KND,KND,KND,
3728,29,"D+4, 4","l, l","7,8",12,-15,-16,-4,
3729,29,"D+4, 4, 4","l, l, l","7,8,5",12,-15,-16,-4,
3730,29,"D+4, 4, 4, 4","l, l, l, m","7,8,5,21",12,-20~-19,KND,KND,
3731,29,"D+4, 4, 4, 4, 3","l, l, l, m, (HMS)","7,8,5,21",12,-11~-10,KND,KND,
3732,29,"D+4, 4, 4, 4, 3, d/b (Cancel)","l, l, l, m, (HMS)","7,8,5,21",12s,-8,KND,KND,
3733,29,d+3+4,h! (TJ),60,60a cs25~44 js45~,KND,KND,KND,
3734,29,"d+3+4, 3+4 (Cancel)",(HMS),,s,,,,
3735,29,d/b+3,l,13,20~21,-12~-11,+2~+3,+2~+3,
3736,29,d/b+1+2,"!, !","20,30","76,90",CS,CS,CS,
3737,29,d/b+3+4,l?,17,23~25,-13~-11,+4~+6,KND,
3738,29,b+1,h,8,15,0,6,6,
3739,29,"b+1, 1","h, m","8,6",15,-5,6,6,
3740,29,"b+1, 1, 2","h, m, h","8,6,15",15,-11,1,1,
3741,29,"b+1, 1, 3+4","h, m, (HMS)","8,6",15,-1,10,10,
3742,29,"b+1, 1~f, n (Cancel)","h, (MS)",8,15,-5,1,1,
3743,29,b+1:1,"h, m","12,6",15,-5,6,6,
3744,29,"b+1:1, 2","h, m, h","12,6,23",15,-6,KND,KND,
3745,29,"b+1:1, 3+4","h, m, (HMS)","12,6",15,-1,10,10,
3746,29,"b+1:1~f, n (Cancel)","h, (MS)",12,15,-5,1,1,
3747,29,b+2,h,13,14,-5,1,1,
3748,29,"b+2, f, n","h, (MS)",13,14,-1,5,5,
3749,29,"b+2, 4","h, h","13,12",14,-8~-7,-6~-5,KND,
3750,29,"b+2, 4, 3+4","h, h, (HMS)","13,12",14,-10~-9,-8~-7,KND,
3751,29,"b+2, 4, 3","h, h, h (TJ)","13,12,21",js13~,-3,KND,KND,Tail spin
3752,29,b+3,l,9,15,-14,-3,-3,
3753,29,"b+3, 3","l, h","9,15",15,-12,-3,-3,
3754,29,"b+3, 3, f","l, h, (MS)","9,15",15,-7,2,2,
3755,29,b+4,m,22,20~22,-3~-1,+7~+9s (KND),KND,
3756,29,"b+4, 3","m, (HMS)",22,20~22,-2~0,+8~+10s (KND),KND,
3757,29,b+1+2,Absorbs 1 h/m hit,,20~22,,+7b,,
3758,29,b+1+2(when done) 4(When parry successful),"(Special), h",30,20,,KND,CS,
3759,29,b+3+4,m,25,20 pc8~19,-15,KND,KND,Power crush
3760,29,"u/b, b","(Special) (TJ), (HMS)",,20 8~19,,,,
